"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN"
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-01-06","0.62","0.0","0.0","38","41","34",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-01-07","0.00","0.0","0.0","39","42","36",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-01-08","0.59","0.0","0.0","38","41","35",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-01-09","0.00","0.0","0.0","37","40","33","    0"
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-01-10","0.00","0.0","0.0","44","48","39","    0"
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-01-11","0.25","0.0","0.0","38","40","35","    0"
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-01-12","0.12","0.0","0.0","37","39","35","    0"
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-01-13","0.00","0.0","0.0","49","59","38","    0"
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-01-14","1.03","0.0","0.0","50","66","34",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-01-15","0.00","0.0","0.0","30","34","26","    0"
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-01-16","0.00","0.0","0.0","29","31","27","    0"
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-01-17","0.03","0.5","0.0","23","28","18",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-01-18","0.00","0.0","0.0","14","18","9",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-01-19","0.03","0.8","0.0","18","26","9",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-01-20","0.00","0.0","0.0","25","30","20",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-01-21","0.00","0.0","0.0","15","20","9","    0"
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-01-22","0.93","8.5","0.0","16","25","6","    0"
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-01-23","0.25","5.3","13.0","18","26","9",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-01-24","0.00","0.0","14.0","16","24","8",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-01-25","0.00","0.0","13.0","27","33","20",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-01-26","0.01","0.0","13.0","27","37","17",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-01-27","0.00","0.0","13.0","14","18","9","    0"
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-01-28","0.00","0.0","11.0","14","22","5","    0"
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-01-29","0.00","0.0","11.0","25","34","15","    0"
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-01-30","0.02","0.2","11.0","31","38","24","    0"
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-01-31","0.00","0.0","11.0","30","35","24",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-02-01","0.00","0.0","9.0","33","40","25",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-02-02","0.00","0.0","8.0","34","40","28",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-02-03","0.02","0.0","7.0","35","41","29",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-02-04","0.27","0.0","7.0","40","46","34",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-02-05","0.00","0.0","6.0","46","53","38",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-02-06","0.00","0.0","5.0","46","52","40",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-02-07","0.00","0.0","4.0","45","52","37",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-02-08","0.00","0.0","4.0","47","53","40",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-02-09","0.03","0.0","2.0","50","54","46",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-02-10","0.10","0.0","0.0","38","46","30",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-02-11","0.00","0.0","0.0","35","40","29",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-02-12","0.00","0.0","0.0","36","42","30",
